dataset,scaler,stratify,classifier,seed,uar_correct,uar_leakage
svd,MaxAbsScaler,True,svm,100,0.8331606016665996,0.8298732492516571
svd,MaxAbsScaler,True,knn,100,0.7152873407944291,0.7209172906337574
svd,MaxAbsScaler,True,gaussianNB,100,0.6608748521562043,0.6608748521562043
svd,MaxAbsScaler,True,lda,100,0.8267803152863131,0.8267803152863131
svd,MaxAbsScaler,True,qda,100,0.7411810635747387,0.7426651447425711
svd,MaxAbsScaler,True,dt,100,0.7981906897174074,0.7981906897174074
svd,MaxAbsScaler,True,rf,100,0.81390776980199,0.81390776980199
svd,MaxAbsScaler,True,adaboost,100,0.8125797376015477,0.8125797376015477
svd,MaxAbsScaler,True,mlp,100,0.7875122006310665,0.7735347949033882
voiced,MaxAbsScaler,True,svm,100,0.5854936461388074,0.5989784946236558
voiced,MaxAbsScaler,True,knn,100,0.5588269794721408,0.5351221896383187
voiced,MaxAbsScaler,True,gaussianNB,100,0.5513685239491691,0.5513685239491691
voiced,MaxAbsScaler,True,lda,100,0.48782502443792775,0.48782502443792775
voiced,MaxAbsScaler,True,qda,100,0.5107575757575757,0.4865151515151515
voiced,MaxAbsScaler,True,dt,100,0.6123118279569892,0.6123118279569892
voiced,MaxAbsScaler,True,rf,100,0.5158406647116325,0.5158406647116325
voiced,MaxAbsScaler,True,adaboost,100,0.5551270772238515,0.5551270772238515
voiced,MaxAbsScaler,True,mlp,100,0.6019012707722385,0.5771603128054741
svd,MaxAbsScaler,False,svm,100,0.8301115232212393,0.8361922525285441
svd,MaxAbsScaler,False,knn,100,0.7197901893668134,0.7246024726330409
svd,MaxAbsScaler,False,gaussianNB,100,0.6635062963016777,0.6635062963016777
svd,MaxAbsScaler,False,lda,100,0.8190285516713105,0.8190285516713105
svd,MaxAbsScaler,False,qda,100,0.7369587066754835,0.7395318363466608
svd,MaxAbsScaler,False,dt,100,0.7757079789293532,0.7757079789293532
svd,MaxAbsScaler,False,rf,100,0.8194846174855528,0.8194846174855528
svd,MaxAbsScaler,False,adaboost,100,0.8209318390338588,0.8209318390338588
svd,MaxAbsScaler,False,mlp,100,0.7891060850653144,0.7894232754049234
voiced,MaxAbsScaler,False,svm,100,0.6143433744465527,0.5703822738772928
voiced,MaxAbsScaler,False,knn,100,0.5322327640733713,0.5131874604680581
voiced,MaxAbsScaler,False,gaussianNB,100,0.5391125079063883,0.5391125079063883
voiced,MaxAbsScaler,False,lda,100,0.5250620651486402,0.5250620651486402
voiced,MaxAbsScaler,False,qda,100,0.495792220113852,0.5075980392156862
voiced,MaxAbsScaler,False,dt,100,0.5590955091714105,0.5590955091714105
voiced,MaxAbsScaler,False,rf,100,0.5158289848197344,0.5158289848197344
voiced,MaxAbsScaler,False,adaboost,100,0.531677340290955,0.531677340290955
voiced,MaxAbsScaler,False,mlp,100,0.5540872074636306,0.5813231340923466
svd,MaxAbsScaler,True,svm,101,0.8313765369490561,0.8334354903547924
svd,MaxAbsScaler,True,knn,101,0.7183530101305455,0.7065861310626851
svd,MaxAbsScaler,True,gaussianNB,101,0.6598790322727073,0.6598790322727073
svd,MaxAbsScaler,True,lda,101,0.8221350496105131,0.8221350496105131
svd,MaxAbsScaler,True,qda,101,0.7385009320014773,0.7370910768620692
svd,MaxAbsScaler,True,dt,101,0.7921662379786698,0.7921662379786698
svd,MaxAbsScaler,True,rf,101,0.8177319808508468,0.8161935193123853
svd,MaxAbsScaler,True,adaboost,101,0.8164047366664597,0.8164047366664597
svd,MaxAbsScaler,True,mlp,101,0.7743909616374174,0.7787313540694131
voiced,MaxAbsScaler,True,svm,101,0.5962512218963832,0.5816177908113392
voiced,MaxAbsScaler,True,knn,101,0.5909726295210167,0.5441935483870968
voiced,MaxAbsScaler,True,gaussianNB,101,0.5565200391006841,0.5565200391006841
voiced,MaxAbsScaler,True,lda,101,0.5098582600195504,0.5098582600195504
voiced,MaxAbsScaler,True,qda,101,0.4894330400782014,0.5130303030303031
voiced,MaxAbsScaler,True,dt,101,0.6130254154447703,0.6130254154447703
voiced,MaxAbsScaler,True,rf,101,0.5516862170087977,0.5516862170087977
voiced,MaxAbsScaler,True,adaboost,101,0.5413196480938416,0.5413196480938416
voiced,MaxAbsScaler,True,mlp,101,0.5841495601173021,0.5782844574780059
svd,MaxAbsScaler,False,svm,101,0.8268570340354101,0.82944951413896
svd,MaxAbsScaler,False,knn,101,0.7158803120323548,0.7241880232411
svd,MaxAbsScaler,False,gaussianNB,101,0.6597599216269782,0.6597599216269782
svd,MaxAbsScaler,False,lda,101,0.8191697794717593,0.8191697794717593
svd,MaxAbsScaler,False,qda,101,0.7407908516485904,0.7365249423056228
svd,MaxAbsScaler,False,dt,101,0.7933559703107212,0.7933559703107212
svd,MaxAbsScaler,False,rf,101,0.81877852165019,0.81877852165019
svd,MaxAbsScaler,False,adaboost,101,0.8234519428052873,0.8234519428052873
svd,MaxAbsScaler,False,mlp,101,0.7923041758370667,0.7911799572417924
voiced,MaxAbsScaler,False,svm,101,0.5858983562076869,0.5837905789274959
voiced,MaxAbsScaler,False,knn,101,0.5390508899484558,0.5505185804729416
voiced,MaxAbsScaler,False,gaussianNB,101,0.5721215414065313,0.5721215414065313
voiced,MaxAbsScaler,False,lda,101,0.4885043202233871,0.4885043202233871
voiced,MaxAbsScaler,False,qda,101,0.5019252873563218,0.4866666666666667
voiced,MaxAbsScaler,False,dt,101,0.5406855061773926,0.5406855061773926
voiced,MaxAbsScaler,False,rf,101,0.5509449610565229,0.5509449610565229
voiced,MaxAbsScaler,False,adaboost,101,0.5840077316192934,0.5840077316192934
voiced,MaxAbsScaler,False,mlp,101,0.5912148213517382,0.5633436728923545
svd,MaxAbsScaler,True,svm,102,0.8306692235427242,0.8344861953749632
svd,MaxAbsScaler,True,knn,102,0.7063347902551829,0.7254798418593402
svd,MaxAbsScaler,True,gaussianNB,102,0.6598536559768838,0.6598536559768838
svd,MaxAbsScaler,True,lda,102,0.8193342789525996,0.8193342789525996
svd,MaxAbsScaler,True,qda,102,0.7388725977766327,0.7425452337557027
svd,MaxAbsScaler,True,dt,102,0.7921062234748167,0.7921062234748167
svd,MaxAbsScaler,True,rf,102,0.8126331066243825,0.8126331066243825
svd,MaxAbsScaler,True,adaboost,102,0.8106634387059687,0.8106634387059687
svd,MaxAbsScaler,True,mlp,102,0.7839900085374458,0.7859995475262651
voiced,MaxAbsScaler,True,svm,102,0.5414467253176931,0.580386119257087
voiced,MaxAbsScaler,True,knn,102,0.5569452590420332,0.5361241446725318
voiced,MaxAbsScaler,True,gaussianNB,102,0.5451808406647116,0.5451808406647116
voiced,MaxAbsScaler,True,lda,102,0.5232551319648093,0.5232551319648093
voiced,MaxAbsScaler,True,qda,102,0.5081818181818182,0.4883333333333333
voiced,MaxAbsScaler,True,dt,102,0.5616862170087976,0.5616862170087976
voiced,MaxAbsScaler,True,rf,102,0.4905180840664712,0.4905180840664712
voiced,MaxAbsScaler,True,adaboost,102,0.5563391984359727,0.5563391984359727
voiced,MaxAbsScaler,True,mlp,102,0.5536119257086999,0.5521603128054741
svd,MaxAbsScaler,False,svm,102,0.8330082517743591,0.8338830076731469
svd,MaxAbsScaler,False,knn,102,0.7206882609149018,0.7209307047012703
svd,MaxAbsScaler,False,gaussianNB,102,0.6586271746926295,0.6586271746926295
svd,MaxAbsScaler,False,lda,102,0.8207022092674912,0.8207022092674912
svd,MaxAbsScaler,False,qda,102,0.7259159296065564,0.7234876108484366
svd,MaxAbsScaler,False,dt,102,0.7821661117083216,0.7821661117083216
svd,MaxAbsScaler,False,rf,102,0.8301804781738156,0.8310425471393328
svd,MaxAbsScaler,False,adaboost,102,0.8251030166563964,0.8251030166563964
svd,MaxAbsScaler,False,mlp,102,0.7788967301325694,0.7873407434091402
voiced,MaxAbsScaler,False,svm,102,0.5272392191142192,0.516667637917638
voiced,MaxAbsScaler,False,knn,102,0.538556721056721,0.522306721056721
voiced,MaxAbsScaler,False,gaussianNB,102,0.5504351204351204,0.5504351204351204
voiced,MaxAbsScaler,False,lda,102,0.5269017094017093,0.5269017094017093
voiced,MaxAbsScaler,False,qda,102,0.4766666666666667,0.47000000000000003
voiced,MaxAbsScaler,False,dt,102,0.5603996697746698,0.5603996697746698
voiced,MaxAbsScaler,False,rf,102,0.5641195609945611,0.5641195609945611
voiced,MaxAbsScaler,False,adaboost,102,0.5858367327117328,0.5858367327117328
voiced,MaxAbsScaler,False,mlp,102,0.5201039238539239,0.519680944055944
svd,MaxAbsScaler,True,svm,103,0.822591661337572,0.8248882487922836
svd,MaxAbsScaler,True,knn,103,0.7166073457621984,0.7127781397083469
svd,MaxAbsScaler,True,gaussianNB,103,0.6609882356828921,0.6609882356828921
svd,MaxAbsScaler,True,lda,103,0.8171235144354011,0.8171235144354011
svd,MaxAbsScaler,True,qda,103,0.7383817491123925,0.7400484448303424
svd,MaxAbsScaler,True,dt,103,0.7985600223113855,0.7985600223113855
svd,MaxAbsScaler,True,rf,103,0.8215561337971371,0.8215561337971371
svd,MaxAbsScaler,True,adaboost,103,0.8221175807108196,0.8221175807108196
svd,MaxAbsScaler,True,mlp,103,0.7820449906327769,0.7917029517193095
voiced,MaxAbsScaler,True,svm,103,0.5639345063538613,0.567898338220919
voiced,MaxAbsScaler,True,knn,103,0.5217057673509287,0.5128739002932552
voiced,MaxAbsScaler,True,gaussianNB,103,0.5587292277614858,0.5587292277614858
voiced,MaxAbsScaler,True,lda,103,0.5192766373411535,0.5192766373411535
voiced,MaxAbsScaler,True,qda,103,0.45647116324535686,0.508435972629521
