dataset,scaler,stratify,classifier,seed,acc_correct,uar_correct,acc_leakage,uar_leakage
svd,MinMaxScaler,True,svm,0,0.8323170731707317,0.8238249845392702,0.8384146341463414,0.8326376004947433
svd,MinMaxScaler,True,knn,0,0.7835365853658537,0.7768243661100804,0.7804878048780488,0.7717996289424861
svd,MinMaxScaler,True,gaussianNB,0,0.6371951219512195,0.6791125541125541,0.6371951219512195,0.6791125541125541
svd,MinMaxScaler,True,lda,0,0.8170731707317073,0.8110698824984539,0.8170731707317073,0.8110698824984539
svd,MinMaxScaler,True,qda,0,0.7865853658536586,0.7929808286951144,0.7865853658536586,0.7818491032776747
svd,MinMaxScaler,True,dt,0,0.7987804878048781,0.7858688930117501,0.7987804878048781,0.7858688930117501
svd,MinMaxScaler,True,rf,0,0.7987804878048781,0.7747371675943104,0.7987804878048781,0.7747371675943104
svd,MinMaxScaler,True,adaboost,0,0.7926829268292683,0.7646876932591218,0.7926829268292683,0.7646876932591218
svd,MinMaxScaler,True,mlp,0,0.8262195121951219,0.8150123685837971,0.8140243902439024,0.8023345701917131
voiced,MinMaxScaler,True,svm,0,0.7380952380952381,0.6666666666666667,0.7857142857142857,0.7250000000000001
voiced,MinMaxScaler,True,knn,0,0.6666666666666666,0.4916666666666667,0.5714285714285714,0.4
voiced,MinMaxScaler,True,gaussianNB,0,0.40476190476190477,0.5583333333333333,0.40476190476190477,0.5583333333333333
voiced,MinMaxScaler,True,lda,0,0.6428571428571429,0.6,0.6428571428571429,0.6
voiced,MinMaxScaler,True,qda,0,0.6666666666666666,0.6416666666666666,0.7142857142857143,0.5
voiced,MinMaxScaler,True,dt,0,0.6428571428571429,0.5,0.6428571428571429,0.5
voiced,MinMaxScaler,True,rf,0,0.6904761904761905,0.5083333333333333,0.6904761904761905,0.5083333333333333
voiced,MinMaxScaler,True,adaboost,0,0.6904761904761905,0.5583333333333333,0.6904761904761905,0.5583333333333333
voiced,MinMaxScaler,True,mlp,0,0.8095238095238095,0.7416666666666667,0.7857142857142857,0.7250000000000001
svd,MinMaxScaler,False,svm,0,0.8201219512195121,0.8206293706293706,0.8262195121951219,0.8256798756798757
svd,MinMaxScaler,False,knn,0,0.7469512195121951,0.7494560994560995,0.7682926829268293,0.7697746697746698
svd,MinMaxScaler,False,gaussianNB,0,0.6067073170731707,0.6412198912198912,0.6067073170731707,0.6412198912198912
svd,MinMaxScaler,False,lda,0,0.7987804878048781,0.798989898989899,0.7987804878048781,0.798989898989899
svd,MinMaxScaler,False,qda,0,0.7286585365853658,0.7356254856254856,0.75,0.751981351981352
svd,MinMaxScaler,False,dt,0,0.7865853658536586,0.7783216783216784,0.7865853658536586,0.7783216783216784
svd,MinMaxScaler,False,rf,0,0.8292682926829268,0.8202797202797203,0.8292682926829268,0.8202797202797203
svd,MinMaxScaler,False,adaboost,0,0.8170731707317073,0.8035742035742036,0.8170731707317073,0.8035742035742036
svd,MinMaxScaler,False,mlp,0,0.7957317073170732,0.7885392385392385,0.7957317073170732,0.7885392385392385
voiced,MinMaxScaler,False,svm,0,0.7857142857142857,0.653125,0.7857142857142857,0.653125
voiced,MinMaxScaler,False,knn,0,0.7857142857142857,0.584375,0.8095238095238095,0.6
voiced,MinMaxScaler,False,gaussianNB,0,0.42857142857142855,0.55625,0.42857142857142855,0.55625
voiced,MinMaxScaler,False,lda,0,0.47619047619047616,0.51875,0.47619047619047616,0.51875
voiced,MinMaxScaler,False,qda,0,0.7619047619047619,0.5,0.7619047619047619,0.5
voiced,MinMaxScaler,False,dt,0,0.5952380952380952,0.425,0.5952380952380952,0.425
voiced,MinMaxScaler,False,rf,0,0.7619047619047619,0.534375,0.7619047619047619,0.534375
voiced,MinMaxScaler,False,adaboost,0,0.6190476190476191,0.509375,0.6190476190476191,0.509375
voiced,MinMaxScaler,False,mlp,0,0.6428571428571429,0.59375,0.6666666666666666,0.575
svd,MinMaxScaler,True,svm,1,0.8658536585365854,0.8543599257884972,0.8628048780487805,0.854282622139765
svd,MinMaxScaler,True,knn,1,0.8048780487804879,0.7922077922077921,0.8048780487804879,0.7922077922077921
svd,MinMaxScaler,True,gaussianNB,1,0.6158536585365854,0.6538342609771182,0.6158536585365854,0.6538342609771182
svd,MinMaxScaler,True,lda,1,0.8170731707317073,0.8061224489795918,0.8170731707317073,0.8061224489795918
svd,MinMaxScaler,True,qda,1,0.7621951219512195,0.7602040816326531,0.7530487804878049,0.7463667285095856
svd,MinMaxScaler,True,dt,1,0.8353658536585366,0.8214285714285714,0.8353658536585366,0.8214285714285714
svd,MinMaxScaler,True,rf,1,0.8689024390243902,0.8494897959183674,0.8689024390243902,0.8494897959183674
svd,MinMaxScaler,True,adaboost,1,0.8475609756097561,0.8291589363017935,0.8475609756097561,0.8291589363017935
svd,MinMaxScaler,True,mlp,1,0.7865853658536586,0.7719542362399505,0.801829268292683,0.7884199134199135
voiced,MinMaxScaler,True,svm,1,0.5714285714285714,0.44999999999999996,0.6428571428571429,0.5
voiced,MinMaxScaler,True,knn,1,0.6904761904761905,0.5083333333333333,0.6904761904761905,0.5083333333333333
voiced,MinMaxScaler,True,gaussianNB,1,0.38095238095238093,0.44166666666666665,0.38095238095238093,0.44166666666666665
voiced,MinMaxScaler,True,lda,1,0.5238095238095238,0.5166666666666666,0.5238095238095238,0.5166666666666666
voiced,MinMaxScaler,True,qda,1,0.7142857142857143,0.5,0.7142857142857143,0.5
voiced,MinMaxScaler,True,dt,1,0.7619047619047619,0.5833333333333334,0.7619047619047619,0.5833333333333334
voiced,MinMaxScaler,True,rf,1,0.6666666666666666,0.4666666666666667,0.6666666666666666,0.4666666666666667
voiced,MinMaxScaler,True,adaboost,1,0.7619047619047619,0.5833333333333334,0.7619047619047619,0.5833333333333334
voiced,MinMaxScaler,True,mlp,1,0.5238095238095238,0.39166666666666666,0.5,0.375
svd,MinMaxScaler,False,svm,1,0.8597560975609756,0.8613039026055296,0.8597560975609756,0.8613039026055296
svd,MinMaxScaler,False,knn,1,0.8079268292682927,0.803637122160276,0.8140243902439024,0.8054955057458186
svd,MinMaxScaler,False,gaussianNB,1,0.625,0.6571661546630257,0.625,0.6571661546630257
svd,MinMaxScaler,False,lda,1,0.8567073170731707,0.8621193158114309,0.8567073170731707,0.8621193158114309
svd,MinMaxScaler,False,qda,1,0.7347560975609756,0.7394659991656237,0.7408536585365854,0.7439412902491751
svd,MinMaxScaler,False,dt,1,0.8536585365853658,0.8515947965259605,0.8536585365853658,0.8515947965259605
svd,MinMaxScaler,False,rf,1,0.8628048780487805,0.8561269769029468,0.8628048780487805,0.8561269769029468
svd,MinMaxScaler,False,adaboost,1,0.8414634146341463,0.8278150718701407,0.8414634146341463,0.8278150718701407
svd,MinMaxScaler,False,mlp,1,0.850609756097561,0.8506656047331892,0.8384146341463414,0.8364812075700686
voiced,MinMaxScaler,False,svm,1,0.5476190476190477,0.48518518518518516,0.5476190476190477,0.45555555555555555
voiced,MinMaxScaler,False,knn,1,0.6428571428571429,0.5740740740740741,0.5952380952380952,0.537037037037037
voiced,MinMaxScaler,False,gaussianNB,1,0.5,0.5518518518518518,0.5,0.5518518518518518
voiced,MinMaxScaler,False,lda,1,0.5714285714285714,0.5629629629629629,0.5714285714285714,0.5629629629629629
voiced,MinMaxScaler,False,qda,1,0.6190476190476191,0.48148148148148145,0.5952380952380952,0.47777777777777775
voiced,MinMaxScaler,False,dt,1,0.6904761904761905,0.6407407407407407,0.6904761904761905,0.6407407407407407
voiced,MinMaxScaler,False,rf,1,0.6666666666666666,0.5481481481481482,0.6666666666666666,0.5481481481481482
voiced,MinMaxScaler,False,adaboost,1,0.6190476190476191,0.5259259259259259,0.6190476190476191,0.5259259259259259
