dataset,scaler,stratify,classifier,seed,acc_correct,uar_correct,acc_leakage,uar_leakage
svd,StandardScaler,False,knn,1,0.7378048780487805,0.7229491409716691,0.7560975609756098,0.7424811317176774
svd,StandardScaler,False,gaussianNB,1,0.6219512195121951,0.6544923578715819,0.6219512195121951,0.6544923578715819
svd,StandardScaler,False,lda,1,0.8567073170731707,0.8621193158114309,0.8567073170731707,0.8621193158114309
svd,StandardScaler,False,qda,1,0.7012195121951219,0.7231387719497857,0.698170731707317,0.7195926726590056
svd,StandardScaler,False,dt,1,0.8536585365853658,0.8515947965259605,0.8536585365853658,0.8515947965259605
svd,StandardScaler,False,rf,1,0.8628048780487805,0.8561269769029468,0.8628048780487805,0.8561269769029468
svd,StandardScaler,False,adaboost,1,0.8414634146341463,0.8278150718701407,0.8414634146341463,0.8278150718701407
svd,StandardScaler,False,mlp,1,0.8140243902439024,0.8116016232411727,0.823170731707317,0.8213676186141767
voiced,StandardScaler,False,svm,1,0.5476190476190477,0.4703703703703703,0.5952380952380952,0.5074074074074074
voiced,StandardScaler,False,knn,1,0.5952380952380952,0.4925925925925926,0.5952380952380952,0.537037037037037
voiced,StandardScaler,False,gaussianNB,1,0.5,0.5518518518518518,0.5,0.5518518518518518
voiced,StandardScaler,False,lda,1,0.5714285714285714,0.5629629629629629,0.5714285714285714,0.5629629629629629
voiced,StandardScaler,False,qda,1,0.5952380952380952,0.46296296296296297,0.4523809523809524,0.5296296296296297
voiced,StandardScaler,False,dt,1,0.6904761904761905,0.6407407407407407,0.6904761904761905,0.6407407407407407
voiced,StandardScaler,False,rf,1,0.6666666666666666,0.5481481481481482,0.6666666666666666,0.5481481481481482
voiced,StandardScaler,False,adaboost,1,0.6190476190476191,0.5259259259259259,0.6190476190476191,0.5259259259259259
voiced,StandardScaler,False,mlp,1,0.6190476190476191,0.5555555555555556,0.5714285714285714,0.47407407407407404
svd,StandardScaler,True,svm,2,0.801829268292683,0.797077922077922,0.8079268292682927,0.8021799628942485
svd,StandardScaler,True,knn,2,0.7225609756097561,0.7134353741496599,0.7103658536585366,0.7019944341372912
svd,StandardScaler,True,gaussianNB,2,0.5701219512195121,0.6143320964749537,0.5701219512195121,0.6143320964749537
svd,StandardScaler,True,lda,2,0.8170731707317073,0.8184910327767471,0.8170731707317073,0.8184910327767471
svd,StandardScaler,True,qda,2,0.6737804878048781,0.6973562152133581,0.6798780487804879,0.7049319727891157
svd,StandardScaler,True,dt,2,0.774390243902439,0.7679344465058751,0.774390243902439,0.7679344465058751
svd,StandardScaler,True,rf,2,0.8475609756097561,0.8390538033395176,0.8475609756097561,0.8390538033395176
svd,StandardScaler,True,adaboost,2,0.8201219512195121,0.8160946196660482,0.8201219512195121,0.8160946196660482
svd,StandardScaler,True,mlp,2,0.8079268292682927,0.8034168212739641,0.7957317073170732,0.7895021645021645
voiced,StandardScaler,True,svm,2,0.6666666666666666,0.5166666666666667,0.6666666666666666,0.5166666666666667
voiced,StandardScaler,True,knn,2,0.6904761904761905,0.48333333333333334,0.6904761904761905,0.5083333333333333
voiced,StandardScaler,True,gaussianNB,2,0.47619047619047616,0.5583333333333333,0.47619047619047616,0.5583333333333333
voiced,StandardScaler,True,lda,2,0.6428571428571429,0.675,0.6428571428571429,0.675
voiced,StandardScaler,True,qda,2,0.38095238095238093,0.44166666666666665,0.2857142857142857,0.5
voiced,StandardScaler,True,dt,2,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.6666666666666666
voiced,StandardScaler,True,rf,2,0.6904761904761905,0.5083333333333333,0.6904761904761905,0.5083333333333333
voiced,StandardScaler,True,adaboost,2,0.7380952380952381,0.5416666666666666,0.7380952380952381,0.5416666666666666
