dataset,scaler,stratify,classifier,seed,acc_correct,uar_correct,acc_leakage,uar_leakage
voiced,QuantileTransformer,True,mlp,0,0.7380952380952381,0.6666666666666667,0.7142857142857143,0.625
svd,QuantileTransformer,False,svm,0,0.7865853658536586,0.7756798756798757,0.7865853658536586,0.7743589743589744
svd,QuantileTransformer,False,knn,0,0.7103658536585366,0.6940559440559441,0.7042682926829268,0.6863636363636363
svd,QuantileTransformer,False,gaussianNB,0,0.6219512195121951,0.6432789432789433,0.625,0.6471250971250971
svd,QuantileTransformer,False,lda,0,0.7408536585365854,0.7259129759129759,0.7652439024390244,0.7527195027195027
svd,QuantileTransformer,False,qda,0,0.7286585365853658,0.732983682983683,0.7317073170731707,0.7368298368298368
svd,QuantileTransformer,False,dt,0,0.7896341463414634,0.7821678321678323,0.7896341463414634,0.7821678321678323
svd,QuantileTransformer,False,rf,0,0.8201219512195121,0.8113830613830614,0.8201219512195121,0.8113830613830614
svd,QuantileTransformer,False,adaboost,0,0.8170731707317073,0.8035742035742036,0.8170731707317073,0.8035742035742036
svd,QuantileTransformer,False,mlp,0,0.7408536585365854,0.7325174825174825,0.7652439024390244,0.7540404040404041
voiced,QuantileTransformer,False,svm,0,0.7380952380952381,0.65625,0.7380952380952381,0.690625
voiced,QuantileTransformer,False,knn,0,0.6428571428571429,0.525,0.5714285714285714,0.478125
voiced,QuantileTransformer,False,gaussianNB,0,0.5,0.6375,0.5,0.6375
voiced,QuantileTransformer,False,lda,0,0.5,0.5,0.47619047619047616,0.5875
voiced,QuantileTransformer,False,qda,0,0.23809523809523808,0.5,0.23809523809523808,0.5
voiced,QuantileTransformer,False,dt,0,0.7380952380952381,0.65625,0.5952380952380952,0.425
voiced,QuantileTransformer,False,rf,0,0.7619047619047619,0.534375,0.8095238095238095,0.6
voiced,QuantileTransformer,False,adaboost,0,0.6190476190476191,0.509375,0.6190476190476191,0.509375
voiced,QuantileTransformer,False,mlp,0,0.8095238095238095,0.7375,0.7857142857142857,0.721875
svd,QuantileTransformer,True,svm,1,0.850609756097561,0.8378942486085343,0.850609756097561,0.8378942486085343
svd,QuantileTransformer,True,knn,1,0.7286585365853658,0.6999845392702535,0.7317073170731707,0.7062461348175635
svd,QuantileTransformer,True,gaussianNB,1,0.6920731707317073,0.7151360544217688,0.6951219512195121,0.7189239332096475
svd,QuantileTransformer,True,lda,1,0.7957317073170732,0.7783704390847248,0.7957317073170732,0.7808441558441559
svd,QuantileTransformer,True,qda,1,0.7774390243902439,0.7766697588126159,0.7713414634146342,0.772804576376005
svd,QuantileTransformer,True,dt,1,0.8384146341463414,0.8252164502164503,0.8384146341463414,0.8252164502164503
svd,QuantileTransformer,True,rf,1,0.8628048780487805,0.8468614718614719,0.8689024390243902,0.8494897959183674
svd,QuantileTransformer,True,adaboost,1,0.8475609756097561,0.8291589363017935,0.8475609756097561,0.8291589363017935
svd,QuantileTransformer,True,mlp,1,0.7804878048780488,0.7693259121830551,0.7591463414634146,0.7489950525664811
voiced,QuantileTransformer,True,svm,1,0.5476190476190477,0.4583333333333333,0.6904761904761905,0.5333333333333333
voiced,QuantileTransformer,True,knn,1,0.6428571428571429,0.45,0.5714285714285714,0.475
voiced,QuantileTransformer,True,gaussianNB,1,0.47619047619047616,0.5083333333333333,0.4523809523809524,0.4666666666666667
voiced,QuantileTransformer,True,lda,1,0.35714285714285715,0.325,0.47619047619047616,0.45833333333333337
voiced,QuantileTransformer,True,qda,1,0.5476190476190477,0.5083333333333333,0.40476190476190477,0.5333333333333333
voiced,QuantileTransformer,True,dt,1,0.7619047619047619,0.5833333333333334,0.5238095238095238,0.4666666666666667
voiced,QuantileTransformer,True,rf,1,0.6666666666666666,0.4666666666666667,0.6666666666666666,0.4666666666666667
voiced,QuantileTransformer,True,adaboost,1,0.7619047619047619,0.5833333333333334,0.6904761904761905,0.5333333333333333
voiced,QuantileTransformer,True,mlp,1,0.5952380952380952,0.4416666666666667,0.5952380952380952,0.4416666666666667
svd,QuantileTransformer,False,svm,1,0.8567073170731707,0.8507793833200592,0.8567073170731707,0.8516516858193954
svd,QuantileTransformer,False,knn,1,0.7317073170731707,0.7106231273940911,0.7317073170731707,0.7097508248947548
